t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19303 366538074 19300 054248562 0         2 0 4190300410 -124.200462 1602 080013044
19303 446481266 19300 054248562 0        -5 0 4190300539 30.839388 1602 079943192
19303 524775394 19300 054248562 0        -5 0 4190300565 6.421006 1602 078294128
19303 606491786 19300 054248562 0        31 0 4190299885 -162.375565 1602 081716392
19303 684693658 19300 054248562 0       -47 -1 4190301290 335.357605 1602 078201872
19303 766548121 19300 054248562 0       -19 0 4190300942 -83.102844 1602 081854463
19303 844693873 19300 054248562 0        31 0 4190300037 -216.148651 1602 078145752
19303 926520345 19300 054248562 0        12 0 4190300277 57.342876 1602 081826472
19304 006536749 19300 054248562 0        24 0 4190299976 -72.066177 1602 080016404
19304 086570049 19300 054248562 0        26 0 4190299818 -37.906460 1602 080033300
19304 156632549 19300 054248562 0        10 0 4190299976 37.909004 1602 070062500
19304 236587261 19300 054248562 0       -15 0 4190300444 111.783569 1602 079954712
19304 314681125 19300 054248562 0       -39 0 4190301013 135.826050 1602 078093864
19304 394719545 19300 054248562 0        15 0 4190300120 -213.210053 1602 080038420
19304 476700173 19301 179272409 0         8 0 4190300188 16.336027 1596 081980628
19304 556622345 19301 179272409 0         6 0 4190300186 -0.715100 1596 079922172
19304 636572373 19301 179272409 0         9 0 4190300097 -21.345522 1596 079950028
19304 714681201 19301 179272409 0        -7 0 4190300373 65.906685 1596 078108828
19304 794677837 19301 179272409 0       -21 0 4190300683 74.093575 1596 079996636
19304 876584308 19301 179272409 0       -19 0 4190300738 13.337683 1596 081906471
19304 956605796 19301 179272409 0         5 0 4190300363 -89.713348 1596 080021488
19305 034703108 19301 179272409 0         0 0 4190300437 17.745340 1596 078097312
19305 116657064 19301 179272409 0       -24 0 4190300903 111.320740 1596 081953956
19305 194684520 19301 179272409 0        -6 0 4190300677 -54.047268 1596 078027456
19305 276736008 19301 179272409 0        28 0 4190300042 -151.657517 1596 082051488
19305 356634556 19301 179272409 0        23 0 4190299992 -12.112017 1596 079898548
19305 434684004 19301 179272409 0        -3 0 4190300395 96.304504 1596 078049448
19305 516686468 19301 179272409 0        29 0 4190299786 -145.398361 1596 082002464
19305 596669512 19302 304404256 0       -19 0 4190300585 190.748901 1602 079983044
19305 676720088 19302 304404256 0         9 0 4190300124 -110.253204 1602 080050576
19305 756674332 19302 304404256 0        -4 0 4190300337 50.968845 1602 079954244
19305 836761048 19302 304404256 0        12 0 4190300040 -71.088333 1602 080086716
19305 916665991 19302 304404256 0         2 0 4190300178 33.135983 1602 079904943
19305 996770083 19302 304404256 0       -40 0 4190301001 196.591156 1602 080104092
19306 076744275 19302 304404256 0       -28 0 4190300963 -9.256812 1602 079974192
19306 156770427 19302 304404256 0        12 0 4190300308 -156.516098 1602 080026152
19306 234675291 19302 304404256 0         7 0 4190300343 8.560075 1602 077904864
19306 314696587 19302 304404256 0        16 0 4190300133 -50.291832 1602 080021296
19306 396762395 19302 304404256 0        26 0 4190299868 -63.435478 1602 082065808
19306 476709087 19302 304404256 0       -10 0 4190300444 137.596512 1602 079946692
19306 556828863 19302 304404256 0       -16 0 4190300612 40.177872 1602 080119776
19306 636728575 19302 304404256 0         9 0 4190300195 -99.548431 1602 079899712
19306 714679867 19303 429319735 0        11 0 4190300106 -21.441969 1571 077951292
19306 796790883 19303 429319735 0        46 1 4190299383 -172.752167 1571 082111016
19306 876748415 19303 429319735 0        35 0 4190299356 -6.665429 1571 079957532
19306 956763895 19303 429319735 0       -36 0 4190300593 295.250641 1571 080015480
19307 034710766 19303 429319735 0       -28 0 4190300627 8.247801 1571 077946871
19307 116835350 19303 429319735 0         7 0 4190300063 -134.837158 1571 082124584
19307 194692114 19303 429319735 0       -21 0 4190300592 126.313805 1571 077856764
19307 276779982 19303 429319735 0         8 0 4190300115 -113.960320 1571 082087868
19307 356790334 19303 429319735 0       -40 0 4190301025 217.403412 1571 080010352
19307 436795230 19303 429319735 0       -19 0 4190300807 -52.153557 1571 080004896
19307 516795282 19303 429319735 0       -10 0 4190300723 -20.151007 1571 080000052
19307 596968006 19303 429319735 0        23 0 4190300118 -144.432388 1571 080172724
19307 676859510 19303 429319735 0        24 0 4190299983 -32.338333 1571 079891504
19307 756834910 19303 429319735 0        23 0 4190299884 -23.628922 1571 079975400
19307 836829906 19304 554450502 0       -18 0 4190300584 167.198441 1580 079994996
19307 916833866 19304 554450502 0       -29 0 4190300891 73.496353 1580 080003960
19307 996853538 19304 554450502 0        -9 0 4190300638 -60.471912 1580 080019672
19308 076915101 19304 554450502 0        33 0 4190299849 -188.392807 1580 080061563
19308 156916661 19304 554450502 0        32 0 4190299705 -34.469566 1580 080001560
19308 234679461 19304 554450502 0        14 0 4190299895 45.409706 1580 077762800
19308 316934385 19304 554450502 0       -17 0 4190300439 129.930481 1580 082254924
19308 394708073 19304 554450502 0       -42 -1 4190301049 145.748978 1580 077773688
19308 476862541 19304 554450502 0        12 0 4190300172 -209.528214 1580 082154468
19308 556973437 19304 554450502 0         6 0 4190300227 13.148670 1580 080110896
19308 636932805 19304 554450502 0        18 0 4190299959 -64.092384 1580 079959368
19308 716886833 19304 554450502 0       -33 0 4190300883 220.632935 1580 079954028
19308 794690861 19304 554450502 0       -10 0 4190300596 -68.528427 1580 077804028
19308 876893089 19304 554450502 0        -8 0 4190300597 0.351680 1580 082202228
19308 956998545 19305 679367425 0       -21 0 4190300897 71.774437 1587 080105456
19309 034725309 19305 679367425 0        -1 0 4190300606 -69.554756 1587 077726764
19309 116971356 19305 679367425 0        -5 0 4190300687 19.447165 1587 082246047
